target,bit_i,bit_j,bit_i_index,bit_j_index,mean_00,mean_01,mean_10,mean_11,count_00,count_01,count_10,count_11,synergy_11_minus_additive,abs_synergy,best_state,best_state_mean
qed,bit_51,bit_58,51,58,0.6444715372498897,0.7021474391936493,0.5872270310596343,0.6363194458291599,1822,8038,14565,5575,-0.008583487174233961,0.008583487174233961,01,0.7021474391936493
qed,bit_36,bit_86,36,86,0.6371333183147116,0.5731638844776732,0.6977968050237545,0.6417865108213666,451,12309,9136,8104,0.007959139634650558,0.007959139634650558,10,0.6977968050237545
qed,bit_36,bit_5,36,5,0.5750035580164019,0.6262033704575982,0.6590840104615006,0.7023729711340687,12655,105,12308,4932,-0.007910851768628158,0.007910851768628158,11,0.7023729711340687
qed,bit_17,bit_58,17,58,0.6546167414716234,0.7133404908425687,0.5844598946747508,0.6502575228960403,2133,5380,14254,8233,0.007073878850344273,0.007073878850344273,01,0.7133404908425687
qed,bit_23,bit_63,23,63,0.7063518384178574,0.6629031400694986,0.6532024675159903,0.6028940420007415,5769,469,4109,19653,-0.006859727166889984,0.006859727166889984,00,0.7063518384178574
qed,bit_86,bit_16,86,16,0.7124117194664508,0.6653821161898692,0.6415934630054033,0.5880843475142332,6026,3561,4701,15712,-0.006479512214588534,0.006479512214588534,00,0.7124117194664508
qed,bit_86,bit_101,86,101,0.7132886424294459,0.6729955203872602,0.6413694976107869,0.5947658069967551,5222,4365,2471,17942,-0.006310568571846087,0.006310568571846087,00,0.7132886424294459
qed,bit_67,bit_48,67,48,0.5925867949343421,0.6178029694978668,0.6645687761853917,0.6959620850774217,16527,1951,3165,8357,0.006177134328505307,0.006177134328505307,11,0.6959620850774217
qed,bit_33,bit_48,33,48,0.5848390093548071,0.635751640275669,0.6540012574078576,0.7110549747650942,14192,4091,5500,6217,0.0061410864363746764,0.0061410864363746764,11,0.7110549747650942
qed,bit_86,bit_97,86,97,0.6669426467975297,0.7130583627241813,0.5953905288203829,0.6474521825679966,3766,5821,18446,1967,0.005945937820962088,0.005945937820962088,01,0.7130583627241813
qed,bit_86,bit_120,86,120,0.6601108049614373,0.7041134996631974,0.5970248423773964,0.6467325675625942,1998,7589,19024,1389,0.005705030483437734,0.005705030483437734,01,0.7041134996631974
qed,bit_12,bit_58,12,58,0.5847176779478008,0.6414685790197072,0.6594454578667414,0.7114533725157959,14441,7054,1946,6559,-0.004742986422851869,0.004742986422851869,11,0.7114533725157959
qed,bit_33,bit_63,33,63,0.6384896499706166,0.5855819536560511,0.7114086452023162,0.6538004911929428,3680,14603,6198,5519,-0.004700457694807869,0.004700457694807869,10,0.7114086452023162
qed,bit_67,bit_33,67,33,0.5860777545587883,0.6407281269009101,0.6499578627944577,0.6999463524069273,15377,3101,2906,8616,-0.004661882729652178,0.004661882729652178,11,0.6999463524069273
qed,bit_51,bit_101,51,101,0.7032876801259705,0.6713030034874726,0.6347333917951739,0.5981459310092251,6223,3637,1470,18670,-0.004602784147450856,0.004602784147450856,00,0.7032876801259705
qed,bit_58,bit_101,58,101,0.6428291389645758,0.5841062676429141,0.7150314285619477,0.6517209569525542,2647,13740,5046,8567,-0.004587600287731752,0.004587600287731752,10,0.7150314285619477
qed,bit_0,bit_56,0,56,0.6100276783916837,0.6310594797592474,0.6842134468600221,0.7009344329983179,22495,412,2139,4954,-0.004310815229267795,0.004310815229267795,11,0.7009344329983179
qed,bit_67,bit_51,67,51,0.6405472736474092,0.5924234899938351,0.6977885430427822,0.6539573558130196,1085,17393,8775,2747,0.004292596423811523,0.004292596423811523,10,0.6977885430427822
qed,bit_67,bit_63,67,63,0.6201079443821442,0.5930146895205747,0.6959430437655538,0.6646487165408277,1524,16954,8354,3168,-0.004201072363156588,0.004201072363156588,10,0.6959430437655538
qed,bit_12,bit_101,12,101,0.6030784737342406,0.6033517415508093,0.7002839597982539,0.6964282510804604,799,20696,6894,1611,-0.004128976534362172,0.004128976534362172,10,0.7002839597982539
qed,bit_58,bit_56,58,56,0.5910152658011971,0.6408637753273554,0.6599656870138457,0.7058229849595501,15540,847,9094,4519,-0.003991211580453902,0.003991211580453902,11,0.7058229849595501
qed,bit_51,bit_5,51,5,0.6804334822748961,0.7026088528764779,0.6006600175378705,0.6266919569463567,4944,4916,20019,121,0.003856568806904437,0.003856568806904437,01,0.7026088528764779
qed,bit_58,bit_16,58,16,0.6395949780562086,0.576203281356392,0.7115122696936096,0.6445193824692512,4495,11892,6232,7381,-0.0036011905245417752,0.0036011905245417752,10,0.7115122696936096
qed,bit_97,bit_58,97,58,0.5850825815192257,0.6473546207190308,0.6490755071260729,0.7149074064006055,14208,8004,2179,5609,0.0035598600747274167,0.0035598600747274167,11,0.7149074064006055
qed,bit_51,bit_97,51,97,0.6630309912659224,0.704521850829113,0.598528523280655,0.6434828247526031,3097,6763,19115,1025,0.0034634419087574697,0.0034634419087574697,01,0.704521850829113
qed,bit_23,bit_48,23,48,0.6629031400694986,0.7063518384178574,0.6027228093333009,0.6491617058051844,469,5769,19223,4539,0.0029901981235246344,0.0029901981235246344,01,0.7063518384178574
qed,bit_120,bit_58,120,58,0.5900653245358071,0.6386729878070556,0.6497640591273359,0.7007312454498362,15419,5603,968,8010,0.002359523051251755,0.002359523051251755,11,0.7007312454498362
qed,bit_36,bit_17,36,17,0.6240584908234378,0.5746858309211821,0.6985624390255005,0.6514655490873825,191,12569,7322,9918,0.002275769964137697,0.002275769964137697,10,0.6985624390255005
qed,bit_51,bit_16,51,16,0.7012919371812708,0.6612545537929205,0.6361792523137736,0.5939343075532146,7446,2414,3281,16859,-0.0022075613722086773,0.0022075613722086773,00,0.7012919371812708
qed,bit_86,bit_51,86,51,0.7048400230437007,0.6561073247062574,0.6455452617360264,0.5948992280920165,7640,1947,2220,18193,-0.001913335306566677,0.001913335306566677,00,0.7048400230437007
qed,bit_12,bit_36,12,36,0.5742719904377388,0.643738461720675,0.630851923553379,0.7017200765574173,12500,8995,260,8245,0.0014016817211021104,0.0014016817211021104,11,0.7017200765574173
qed,bit_12,bit_17,12,17,0.615604328816957,0.6030752051231038,0.701918675173277,0.6880368249255631,457,21038,7056,1449,-0.0013527265538606503,0.0013527265538606503,10,0.701918675173277
qed,bit_100,bit_56,100,56,0.6841859940816615,0.700890964382862,0.6100829959939206,0.6280459946278593,2123,4974,22511,392,0.001258028332738137,0.001258028332738137,01,0.700890964382862
qed,bit_0,bit_58,0,58,0.5849754081781569,0.6520262203264874,0.6501030993393254,0.7160483704648928,14219,8688,2168,4925,-0.001105541022763168,0.001105541022763168,11,0.7160483704648928
qed,bit_100,bit_58,100,58,0.6499855025311915,0.7159525830762121,0.5850390142519193,0.6519774289742574,2158,4939,14229,8674,0.0009713341773174289,0.0009713341773174289,01,0.7159525830762121
qed,bit_36,bit_0,36,0,0.5743817622218855,0.6202786403058629,0.6534472124341115,0.6991152341935255,12470,290,10437,6803,-0.00022885632456337568,0.00022885632456337568,11,0.6991152341935255
qed,bit_36,bit_100,36,100,0.6202786403058629,0.5743817622218855,0.6991152808266524,0.6534296729422365,290,12470,6807,10433,0.0002112701995614641,0.0002112701995614641,10,0.6991152808266524
score_sa,bit_97,bit_101,97,101,0.11096302795462525,0.1244791512111238,0.1132733100339493,0.10697355952433404,610,21602,7083,705,-0.01981587376611381,0.01981587376611381,01,0.1244791512111238
score_sa,bit_100,bit_0,100,0,0.10813251706110223,0.1131937209736549,0.12362550366333297,0.11036062097855383,20,7077,22887,16,-0.0183260865973318,0.0183260865973318,10,0.12362550366333297
score_sa,bit_48,bit_101,48,101,0.10669643994942885,0.1253413512556274,0.11319229170482084,0.11380094974541953,121,19571,7572,2736,-0.018036253265599864,0.018036253265599864,01,0.1253413512556274
score_sa,bit_46,bit_101,46,101,0.10669643994942885,0.12534768144192127,0.11319229170482084,0.11383143380300138,121,19553,7572,2754,-0.01801209939431188,0.01801209939431188,01,0.12534768144192127
score_sa,bit_63,bit_101,63,101,0.11318942348850233,0.11349495848512736,0.10697858711237157,0.12512968747155745,7570,2308,123,19999,0.01784556536256085,0.01784556536256085,11,0.12512968747155745
score_sa,bit_118,bit_101,118,101,0.10669643994942885,0.12534858594733217,0.11319229170482084,0.11423267603497224,121,19452,7572,2855,-0.017611761667751927,0.017611761667751927,01,0.12534858594733217
score_sa,bit_56,bit_66,56,66,0.11786292338821926,0.12482400075005376,0.11289861839452078,0.13734649636568783,7127,17507,5231,135,0.01748680060933254,0.01748680060933254,11,0.13734649636568783
score_sa,bit_7,bit_101,7,101,0.11319229170482084,0.11439406976467564,0.10669643994942885,0.12533727458643232,7572,2877,121,19430,0.01743905657714867,0.01743905657714867,11,0.12533727458643232
score_sa,bit_125,bit_66,125,66,0.11822359660641388,0.12493701895799182,0.11261107510623203,0.10327056779138495,6937,17628,5421,14,-0.01605392966642502,0.01605392966642502,01,0.12493701895799182
score_sa,bit_16,bit_66,16,66,0.11331246318246671,0.12933778655814998,0.12457225031068593,0.12463825853172111,9670,1057,2688,16585,-0.015959315154648074,0.015959315154648074,01,0.12933778655814998
score_sa,bit_5,bit_97,5,97,0.12415153826001098,0.11491476368356811,0.10479361193308497,0.11146079032633731,22162,2801,50,4987,0.015903952969695212,0.015903952969695212,00,0.12415153826001098
