target,bit_index,bit,count0,count1,mean_if_0,mean_if_1,contribution_if_0,contribution_if_1,effect_1_minus_0,abs_effect,global_mean
official_property_contribution,29,bit_29,11618,18382,0.5655443042937448,0.5892274767288564,-0.014511469190074178,0.009171703245037466,0.023683172435111643,0.023683172435111643,0.580055773483819
official_property_contribution,30,bit_30,6968,23032,0.5809418940791194,0.5797876904555082,0.0008861205953004658,-0.0002680830283108282,-0.001154203623611294,0.001154203623611294,0.580055773483819
official_property_contribution,31,bit_31,12637,17363,0.6133942253576996,0.5557916476800852,0.033338451873880626,-0.024264125803733827,-0.05760257767761445,0.05760257767761445,0.580055773483819
official_property_contribution,32,bit_32,15761,14239,0.5609422292610154,0.601212355441513,-0.019113544222803536,0.021156581957693987,0.04027012618049752,0.04027012618049752,0.580055773483819
official_property_contribution,33,bit_33,18283,11717,0.5551454525487213,0.6189253986145172,-0.024910320935097707,0.03886962513069825,0.06377994606579596,0.06377994606579596,0.580055773483819
official_property_contribution,34,bit_34,6678,23322,0.5829978874450936,0.5792133312818898,0.0029421139612746394,-0.0008424422019291944,-0.003784556163203834,0.003784556163203834,0.580055773483819
official_property_contribution,35,bit_35,16424,13576,0.56949293159654,0.5928345091317764,-0.010562841887278962,0.012778735647957395,0.023341577535236357,0.023341577535236357,0.580055773483819
official_property_contribution,36,bit_36,12760,17240,0.5412361678954124,0.6087876857406674,-0.03881960558840658,0.028731912256848458,0.06755151784525504,0.06755151784525504,0.580055773483819
official_property_contribution,37,bit_37,20274,9726,0.5774601848300919,0.5854663188637967,-0.00259558865372711,0.00541054537997776,0.00800613403370487,0.00800613403370487,0.580055773483819
official_property_contribution,38,bit_38,3314,26686,0.6206563656992009,0.5750137903240432,0.040600592215381925,-0.005041983159775776,-0.0456425753751577,0.0456425753751577,0.580055773483819
official_property_contribution,39,bit_39,21286,8714,0.5819791702517477,0.575357423288486,0.0019233967679287423,-0.004698350195332934,-0.0066217469632616766,0.0066217469632616766,0.580055773483819
official_property_contribution,40,bit_40,14236,15764,0.5859597851102852,0.574724036011453,0.0059040116264662545,-0.005331737472365927,-0.011235749098832182,0.011235749098832182,0.580055773483819
official_property_contribution,41,bit_41,18580,11420,0.5776876835741921,0.5839085852632292,-0.0023680899096268915,0.0038528117794102146,0.006220901689037106,0.006220901689037106,0.580055773483819
official_property_contribution,42,bit_42,14334,15666,0.5824044601247141,0.5779067836771936,0.002348686640895159,-0.0021489898066253676,-0.004497676447520527,0.004497676447520527,0.580055773483819
official_property_contribution,43,bit_43,14591,15409,0.5753563472599387,0.5845057266302034,-0.00469942622388031,0.004449953146384411,0.00914937937026472,0.00914937937026472,0.580055773483819
official_property_contribution,44,bit_44,5184,24816,0.6198965369269718,0.5717331381804138,0.039840763443152793,-0.008322635303405157,-0.04816339874655795,0.04816339874655795,0.580055773483819
official_property_contribution,45,bit_45,13831,16169,0.5651275181231714,0.5928254376493898,-0.014928255360647569,0.012769664165570793,0.027697919526218362,0.027697919526218362,0.580055773483819
official_property_contribution,46,bit_46,19674,10326,0.5648023424317304,0.6091179468828882,-0.01525343105208854,0.029062173399069247,0.044315604451157786,0.044315604451157786,0.580055773483819
official_property_contribution,47,bit_47,21091,8909,0.5618486336973302,0.6231590157373642,-0.018207139786488802,0.043103242253545226,0.06131038204003403,0.06131038204003403,0.580055773483819
official_property_contribution,48,bit_48,19692,10308,0.5648023158322718,0.6091953823385207,-0.015253457651547175,0.029139608854701682,0.04439306650624886,0.04439306650624886,0.580055773483819
official_property_contribution,49,bit_49,27586,2414,0.5760141995474792,0.6262408847546848,-0.0040415739363397485,0.046185111270865775,0.050226685207205524,0.050226685207205524,0.580055773483819
official_property_contribution,50,bit_50,20388,9612,0.5709947250597628,0.5992751508526969,-0.009061048424056195,0.01921937736887791,0.028280425792934105,0.028280425792934105,0.580055773483819
official_property_contribution,51,bit_51,9860,20140,0.6217817805999813,0.5596278474577334,0.04172600711616237,-0.020427926026085563,-0.06215393314224793,0.06215393314224793,0.580055773483819
official_property_contribution,52,bit_52,19674,10326,0.5858495716093101,0.5690169216224094,0.005793798125491079,-0.011038851861409626,-0.016832649986900705,0.016832649986900705,0.580055773483819
official_property_contribution,53,bit_53,16862,13138,0.5845658075320307,0.5742673586473944,0.0045100340482117085,-0.00578841483642456,-0.010298448884636269,0.010298448884636269,0.580055773483819
official_property_contribution,54,bit_54,25071,4929,0.573420188071189,0.6138071960604154,-0.006635585412629985,0.03375142257659647,0.04038700798922645,0.04038700798922645,0.580055773483819
official_property_contribution,55,bit_55,23272,6728,0.5738128690684238,0.6016498388160245,-0.006242904415395212,0.021594065332205536,0.02783696974760075,0.02783696974760075,0.580055773483819
official_property_contribution,56,bit_56,24634,5366,0.5701139697415367,0.6256961747859769,-0.009941803742282262,0.04564040130215796,0.055582205044440225,0.055582205044440225,0.580055773483819
official_property_contribution,57,bit_57,14531,15469,0.5966596268956202,0.5644587346366482,0.01660385341180126,-0.015597038847170785,-0.03220089225897205,0.03220089225897205,0.580055773483819
official_property_contribution,58,bit_58,16387,13613,0.551727286771811,0.6141569203103577,-0.02832848671200794,0.03410114682653875,0.06242963353854669,0.06242963353854669,0.580055773483819
