target,bit_index,bit,count0,count1,mean_if_0,mean_if_1,contribution_if_0,contribution_if_1,effect_1_minus_0,abs_effect,global_mean
score_logp,89,bit_89,5012,24988,0.07647771070159369,0.05219235002386309,0.0202280864205044,-0.004057274257226198,-0.0242853606777306,0.0242853606777306,0.05624962428108929
score_logp,116,bit_116,14519,15481,0.0685971617711791,0.04466937127297522,0.012347537490089808,-0.01158025300811407,-0.02392779049820388,0.02392779049820388,0.05624962428108929
score_logp,82,bit_82,14551,15449,0.04393667477997661,0.06784686217290692,-0.012312949501112676,0.01159723789181763,0.023910187392930306,0.023910187392930306,0.05624962428108929
score_logp,76,bit_76,23368,6632,0.05096583796316453,0.0748671632855021,-0.0052837863179247616,0.018617539004412806,0.023901325322337567,0.023901325322337567,0.05624962428108929
score_logp,109,bit_109,13652,16348,0.06922318777323658,0.04541557187132695,0.012973563492147289,-0.010834052409762339,-0.023807615901909628,0.023807615901909628,0.05624962428108929
score_logp,19,bit_19,18956,11044,0.04756121713526798,0.07116246798411255,-0.008688407145821309,0.01491284370302326,0.023601250848844568,0.023601250848844568,0.05624962428108929
score_logp,54,bit_54,25071,4929,0.05249285536855002,0.07535815611437635,-0.003756768912539267,0.019108531833287062,0.02286530074582633,0.02286530074582633,0.05624962428108929
score_logp,38,bit_38,3314,26686,0.07656657610713216,0.053726564311385845,0.020316951826042873,-0.0025230599697034437,-0.022840011795746316,0.022840011795746316,0.05624962428108929
score_logp,55,bit_55,23272,6728,0.0512855169476423,0.073420359397614,-0.004964107333446988,0.017170735116524713,0.0221348424499717,0.0221348424499717,0.05624962428108929
score_logp,31,bit_31,12637,17363,0.06887920421101777,0.047057664275646324,0.012629579929928483,-0.009191960005442965,-0.021821539935371448,0.021821539935371448,0.05624962428108929
score_logp,21,bit_21,5852,24148,0.07375518361936081,0.05200734611115534,0.017505559338271526,-0.004242278169933951,-0.021747837508205477,0.021747837508205477,0.05624962428108929
score_logp,68,bit_68,26084,3916,0.05349276409711199,0.07461273486302586,-0.0027568601839772985,0.01836311058193657,0.02111997076591387,0.02111997076591387,0.05624962428108929
score_ro5,1,bit_1,24699,5301,0.10000000000000002,0.09999999999999998,1.3877787807814457e-17,-2.7755575615628914e-17,-4.163336342344337e-17,4.163336342344337e-17,0.1
score_ro5,23,bit_23,6238,23762,0.09999999999999999,0.10000000000000003,-1.3877787807814457e-17,2.7755575615628914e-17,4.163336342344337e-17,4.163336342344337e-17,0.1
score_ro5,56,bit_56,24634,5366,0.10000000000000002,0.09999999999999998,1.3877787807814457e-17,-2.7755575615628914e-17,-4.163336342344337e-17,4.163336342344337e-17,0.1
score_ro5,65,bit_65,5357,24643,0.09999999999999996,0.1,-4.163336342344337e-17,0.0,4.163336342344337e-17,4.163336342344337e-17,0.1
score_ro5,69,bit_69,24563,5437,0.1,0.09999999999999996,0.0,-4.163336342344337e-17,-4.163336342344337e-17,4.163336342344337e-17,0.1
score_ro5,75,bit_75,4989,25011,0.09999999999999998,0.10000000000000002,-2.7755575615628914e-17,1.3877787807814457e-17,4.163336342344337e-17,4.163336342344337e-17,0.1
score_ro5,79,bit_79,23847,6153,0.10000000000000003,0.09999999999999999,2.7755575615628914e-17,-1.3877787807814457e-17,-4.163336342344337e-17,4.163336342344337e-17,0.1
score_ro5,107,bit_107,25579,4421,0.10000000000000002,0.09999999999999998,1.3877787807814457e-17,-2.7755575615628914e-17,-4.163336342344337e-17,4.163336342344337e-17,0.1
score_ro5,125,bit_125,24565,5435,0.10000000000000002,0.09999999999999998,1.3877787807814457e-17,-2.7755575615628914e-17,-4.163336342344337e-17,4.163336342344337e-17,0.1
score_ro5,8,bit_8,4459,25541,0.09999999999999999,0.10000000000000002,-1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.1
score_ro5,11,bit_11,25186,4814,0.10000000000000002,0.09999999999999999,1.3877787807814457e-17,-1.3877787807814457e-17,-2.7755575615628914e-17,2.7755575615628914e-17,0.1
score_ro5,35,bit_35,16424,13576,0.10000000000000002,0.09999999999999999,1.3877787807814457e-17,-1.3877787807814457e-17,-2.7755575615628914e-17,2.7755575615628914e-17,0.1
score_ro5,44,bit_44,5184,24816,0.09999999999999999,0.10000000000000002,-1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.1
score_ro5,45,bit_45,13831,16169,0.09999999999999999,0.10000000000000002,-1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.1
score_ro5,49,bit_49,27586,2414,0.10000000000000002,0.09999999999999999,1.3877787807814457e-17,-1.3877787807814457e-17,-2.7755575615628914e-17,2.7755575615628914e-17,0.1
score_ro5,54,bit_54,25071,4929,0.10000000000000002,0.09999999999999999,1.3877787807814457e-17,-1.3877787807814457e-17,-2.7755575615628914e-17,2.7755575615628914e-17,0.1
