bit,bit_index,substructure,frequency_if_0_percent,frequency_if_1_percent,shift_percentage_points,count0,count1
bit_47,47,ether,2.4939547674363474,17.162420024694132,14.668465257257784,21091,8909
bit_47,47,amine,71.1583139727846,86.0365922101246,14.878278237339998,21091,8909
bit_47,47,amide,38.101559907069365,81.71511954203613,43.61355963496677,21091,8909
bit_47,47,halogen,18.965435493812528,22.13491974407902,3.1694842502664926,21091,8909
bit_47,47,sulfur,6.562040680859134,0.7632730946234145,-5.798767586235719,21091,8909
bit_47,47,aromatic_ring,25.878336731307193,5.904141878998765,-19.97419485230843,21091,8909
bit_47,47,hetero_aromatic,15.997344839030866,13.245033112582782,-2.7523117264480845,21091,8909
bit_47,47,carbonyl,57.27087383244037,95.10607251094399,37.835198678503616,21091,8909
bit_23,23,ether,19.06059634498237,3.644474370844205,-15.416121974138164,6238,23762
bit_23,23,amine,91.391471625521,71.42496422860029,-19.96650739692072,6238,23762
bit_23,23,amide,88.65020840012825,41.18340207053278,-47.46680632959547,6238,23762
bit_23,23,halogen,14.107085604360373,21.42917262856662,7.322087024206246,6238,23762
bit_23,23,sulfur,1.074062199422892,5.828633953370929,4.754571753948037,6238,23762
bit_23,23,aromatic_ring,1.907662712407823,24.682265802541874,22.77460309013405,6238,23762
bit_23,23,hetero_aromatic,11.542160949022122,16.135005470919957,4.592844521897835,6238,23762
bit_23,23,carbonyl,97.86790638025008,60.79875431360997,-37.06915206664011,6238,23762
bit_12,12,ether,3.600837404047453,15.06172839506173,11.460890991014276,21495,8505
bit_12,12,amine,70.3372877413352,88.8183421516755,18.481054410340292,21495,8505
bit_12,12,amide,37.450569899976735,85.4320987654321,47.98152886545537,21495,8505
bit_12,12,halogen,24.83833449639451,7.442680776014108,-17.395653720380402,21495,8505
bit_12,12,sulfur,6.489881367759945,0.6701940035273368,-5.819687364232608,21495,8505
bit_12,12,aromatic_ring,25.340776924866248,6.313932980599647,-19.026843944266602,21495,8505
bit_12,12,hetero_aromatic,17.84601070016283,8.442092886537331,-9.403917813625498,21495,8505
bit_12,12,carbonyl,56.68294952314492,98.38918283362727,41.706233310482354,21495,8505
bit_124,124,ether,15.979745642958079,3.245304072903106,-12.734441570054972,8492,21508
bit_124,124,amine,88.09467734338202,70.63418262971918,-17.46049471366284,8492,21508
bit_124,124,amide,82.86622703721149,38.49265389622466,-44.37357314098683,8492,21508
bit_124,124,halogen,30.087140838436177,15.88711177236377,-14.200029066072407,8492,21508
bit_124,124,sulfur,1.4013188883655205,6.197693881346476,4.796374992980955,8492,21508
bit_124,124,aromatic_ring,10.645313235986812,23.619118467546958,12.973805231560146,8492,21508
bit_124,124,hetero_aromatic,16.274140367404616,14.748000743909243,-1.5261396234953732,8492,21508
bit_124,124,carbonyl,93.40555817239755,58.67584154733123,-34.72971662506632,8492,21508
bit_31,31,ether,9.962807628392815,4.584461210620285,-5.37834641777253,12637,17363
bit_31,31,amine,86.31795521088867,67.75902781777343,-18.55892739311524,12637,17363
bit_31,31,amide,64.73055313761178,41.09888844093763,-23.63166469667415,12637,17363
bit_31,31,halogen,29.255361240800827,13.102574439900938,-16.15278680089989,12637,17363
bit_31,31,sulfur,4.035767982907336,5.425329724126015,1.389561741218679,12637,17363
bit_31,31,aromatic_ring,26.984252591596107,14.824627080573633,-12.159625511022474,12637,17363
bit_31,31,hetero_aromatic,22.434122022631954,9.900362840522952,-12.533759182109002,12637,17363
bit_31,31,carbonyl,70.34897523146316,67.16581235961527,-3.183162871847884,12637,17363
bit_84,84,ether,25.995365493996207,3.2510988793410682,-22.74426661465514,4747,25253
bit_84,84,amine,91.5314935748894,72.5775155427078,-18.953978032181595,4747,25253
bit_84,84,amide,91.6157573204129,43.42850354413337,-48.187253776279526,4747,25253
bit_84,84,halogen,21.402991362966084,19.6253910426484,-1.777600320317685,4747,25253
bit_84,84,sulfur,0.25279123657046554,5.702292796895418,5.449501560324952,4747,25253
bit_84,84,aromatic_ring,1.5799452285654096,23.399200095038214,21.819254866472804,4747,25253
bit_84,84,hetero_aromatic,16.43143037708026,14.944759038530076,-1.4866713385501846,4747,25253
bit_84,84,carbonyl,98.12513166210238,62.93905674573318,-35.18607491636919,4747,25253
bit_56,56,ether,2.6995209872533894,25.903838986209465,23.204317998956075,24634,5366
bit_56,56,amine,72.24973613704636,90.84979500559076,18.60005886854441,24634,5366
bit_56,56,amide,43.24510838678249,86.89899366380916,43.653885277026674,24634,5366
bit_56,56,halogen,20.991312819680115,14.927320163995528,-6.0639926556845865,24634,5366
bit_56,56,sulfur,5.809044410164812,0.39135296310100637,-5.417691447063806,24634,5366
bit_56,56,aromatic_ring,23.232118210603232,4.863958255683936,-18.368159954919296,24634,5366
bit_56,56,hetero_aromatic,15.62068685556548,13.15691390234812,-2.4637729532173616,24634,5366
bit_56,56,carbonyl,62.71819436551108,95.08013417815879,32.361939812647705,24634,5366
bit_3,3,ether,12.672768023907361,3.618080033174373,-9.054687990732988,10708,19292
bit_3,3,amine,93.02390735898393,65.89259796806967,-27.131309390914268,10708,19292
bit_3,3,amide,84.89914082928651,32.267261040845945,-52.631879788440564,10708,19292
bit_3,3,halogen,30.229734777736272,14.176860874974082,-16.05287390276219,10708,19292
bit_3,3,sulfur,3.735524841240194,5.453037528509227,1.717512687269033,10708,19292
bit_3,3,aromatic_ring,14.914082928651476,22.7399958532034,7.825912924551924,10708,19292
bit_3,3,hetero_aromatic,15.894658199477027,14.783329877669502,-1.111328321807525,10708,19292
bit_3,3,carbonyl,89.42846469929026,56.89404934687954,-32.53441535241072,10708,19292
