bit,bit_index,property,count0,count1,mean_if_0,mean_if_1,shift_1_minus_0,relative_shift_percent
bit_36,36,ro5,12760,17240,1.0,1.0,0.0,0.0
bit_36,36,official_property_contribution,12760,17240,0.5412361678954124,0.6087876857406674,0.06755151784525504,12.480968910102213
bit_120,120,qed,21022,8978,0.6030207396870203,0.6952360086086486,0.09221526892162835,15.292221784857665
bit_120,120,sa,21022,8978,4.43511876223724,4.813561540709802,0.3784427784725626,8.532866846651519
bit_120,120,logp,21022,8978,4.096458904481023,3.555740433281357,-0.5407184711996655,-13.19965569795381
bit_120,120,mw,21022,8978,292.46469909508846,323.7488959331492,31.284196838060723,10.696742866697
bit_120,120,tpsa,21022,8978,33.93181095994672,50.23538872800178,16.303577768055057,48.048062590292865
bit_120,120,nrb,21022,8978,4.835743506802397,4.7423702383604365,-0.09337326844196081,-1.9308978714568599
bit_120,120,hbd,21022,8978,0.7753781752449814,1.2000445533526398,0.4246663781076584,54.768936199872364
bit_120,120,hba,21022,8978,2.2253353629530968,2.3804856315437735,0.1551502685906767,6.971994925959697
bit_120,120,ro5,21022,8978,1.0,1.0,0.0,0.0
bit_120,120,official_property_contribution,21022,8978,0.5604440025832345,0.6259767634450673,0.0655327608618328,11.693007786643268
bit_77,77,qed,29335,665,0.6303282536254271,0.6433857968226908,0.01305754319726371,2.0715465508901594
bit_77,77,sa,29335,665,4.554176331554884,4.292420219671134,-0.26175611188375036,-5.747605995624279
bit_77,77,logp,29335,665,3.9735243497528585,2.2193381954887226,-1.754186154264136,-44.14685804991333
bit_77,77,mw,29335,665,302.40027419956186,276.5390201813757,-25.861254018186173,-8.551994235666484
bit_77,77,tpsa,29335,665,38.404004431566385,56.76147368421052,18.357469252644137,47.8009247326175
bit_77,77,nrb,29335,665,4.826384864496336,3.98796992481203,-0.8384149396843057,-17.37148949417236
bit_77,77,hbd,29335,665,0.8821544230441453,1.7984962406015037,0.9163418175573584,103.87544330336623
bit_77,77,hba,29335,665,2.2649394920743138,2.5729323308270677,0.30799283875275396,13.598281094506545
bit_77,77,ro5,29335,665,1.0,1.0,0.0,0.0
bit_77,77,official_property_contribution,29335,665,0.578606855650555,0.6439715699331381,0.06536471428258306,11.296913205269652
bit_33,33,qed,18283,11717,0.596231208288092,0.6842737640913038,0.08804255580321185,14.766512483638849
bit_33,33,sa,18283,11717,4.468978699903936,4.672261206955721,0.2032825070517852,4.548746384854216
bit_33,33,logp,18283,11717,4.305931466936501,3.355283066484597,-0.9506484004519042,-22.077648187193578
bit_33,33,mw,18283,11717,300.4880573312222,303.9163045043977,3.428247173175521,1.1408929871035207
bit_33,33,tpsa,18283,11717,33.03562817918285,47.822604762311165,14.786976583128315,44.760694432461904
bit_33,33,nrb,18283,11717,5.041185801017338,4.443628915251344,-0.5975568857659939,-11.853498548801825
bit_33,33,hbd,18283,11717,0.6674506372039599,1.2691815311086456,0.6017308939046857,90.15361741587617
bit_33,33,hba,18283,11717,2.2002406607230762,2.383374583937868,0.18313392321479194,8.32335873452169
bit_33,33,ro5,18283,11717,1.0,1.0,0.0,0.0
bit_33,33,official_property_contribution,18283,11717,0.5551454525487213,0.6189253986145172,0.06377994606579596,11.48887120897355
bit_58,58,qed,16387,13613,0.5935918013213445,0.675188571713518,0.0815967703921735,13.746276517050578
bit_58,58,sa,16387,13613,4.454860715096315,4.660943186216155,0.20608247111984035,4.626013792563318
bit_58,58,logp,16387,13613,4.315638777079396,3.4760026489385165,-0.8396361281408797,-19.455662800145255
bit_58,58,mw,16387,13613,299.79258911258546,304.2760107453775,4.483421632792044,1.4955078262819632
bit_58,58,tpsa,16387,13613,32.76904009275646,46.08400719900096,13.314967106244495,40.63276516051425
bit_58,58,nrb,16387,13613,5.073106730945262,4.488430177036656,-0.5846765539086061,-11.525019774217611
bit_58,58,hbd,16387,13613,0.6680905595899188,1.1846029530595754,0.5165123934696566,77.31173357496587
bit_58,58,hba,16387,13613,2.21651308964423,2.3382795856901493,0.12176649604591905,5.493605998305367
bit_58,58,ro5,16387,13613,1.0,1.0,0.0,0.0
bit_58,58,official_property_contribution,16387,13613,0.551727286771811,0.6141569203103577,0.06242963353854669,11.315306499308049
bit_51,51,qed,9860,20140,0.6914896812482608,0.6008164159821817,-0.0906732652660791,-13.112743071219496
bit_51,51,sa,9860,20140,4.78008872110411,4.4349328372471355,-0.3451558838569744,-7.220700367612631
bit_51,51,logp,9860,20140,3.5644336602434104,4.115882860476666,0.5514492002332556,15.470878484398497
bit_51,51,mw,9860,20140,319.083268123563,293.378821666655,-25.704446456907988,-8.055717433279549
bit_51,51,tpsa,9860,20140,48.60242900608519,34.01727408142999,-14.5851549246552,-30.009106999218265
bit_51,51,nrb,9860,20140,4.707505070993915,4.856901688182721,0.14939661718880615,3.173583776029017
bit_51,51,hbd,9860,20140,1.138235294117647,0.7870407149950348,-0.3511945791226122,-30.854304108963348
bit_51,51,hba,9860,20140,2.360344827586207,2.2284011916583912,-0.13194363592781588,-5.5900152547942445
bit_51,51,ro5,9860,20140,1.0,1.0,0.0,0.0
bit_51,51,official_property_contribution,9860,20140,0.6217817805999813,0.5596278474577334,-0.06215393314224793,-9.99610073525686
bit_47,47,qed,21091,8909,0.6079848438553442,0.6841982863661382,0.07621344251079398,12.535418157385381
